"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2146","Check Fuel Prices @17","chromium","2026-02-24","passed","2026-02-24","New Cars Menu","","",""
"","7420","Validate expert reviews and long-term reports @14","chromium","2026-02-24","passed","2026-02-24","News, Reviews & Media","","",""
"","2438","Find Fuel Stations @16","chromium","2026-02-24","passed","2026-02-24","New Cars Menu","","",""
"","3510","Open car detail pages @8","chromium","2026-02-24","passed","2026-02-24","Car Details & Comparison","","",""
"","3595","Compare two or more cars side by side @10","chromium","2026-02-24","passed","2026-02-24","Car Details & Comparison","","",""
"","3046","Check dealer contact details @12","chromium","2026-02-24","passed","2026-02-24","Buy & Sell Used Cars","","",""
"","3405","Find EV Charging Stations @15","chromium","2026-02-24","passed","2026-02-24","New Cars Menu","","",""
"","22613","Apply filters @4","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
"","5664","Access latest car news articles @13","chromium","2026-02-24","passed","2026-02-24","News, Reviews & Media","","",""
"","8703","Popular brands @6","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
"","2187","Search for used cars by city @11","chromium","2026-02-24","passed","2026-02-24","Buy & Sell Used Cars","","",""
"","2336","Check 360° view and image gallery functionality @9","chromium","2026-02-24","passed","2026-02-24","Car Details & Comparison","","",""
"","7894","Positive Search @1","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
"","2333","Visual Stories @19","chromium","2026-02-24","passed","2026-02-24","Videos Menu","","",""
"","8600","Search by brand/budget @3","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
"","6715","Negative Search @2","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
"","1791","Video Reviews @18","chromium","2026-02-24","passed","2026-02-24","Videos Menu","","",""
"","5490","Verify on-road price calculator works for different cities @7","chromium","2026-02-24","passed","2026-02-24","Car Details & Comparison","","",""
"","10127","Upcoming/New cars @5","chromium","2026-02-24","passed","2026-02-24","Car Search Discovery","","",""
